location,year,bloom_date,normal_date,substitute_species
稚内,2001,2001/5/17,5月13日,えぞやまざくら
稚内,2002,2002/4/29,5月13日,えぞやまざくら
稚内,2003,2003/5/10,5月13日,えぞやまざくら
稚内,2004,2004/5/10,5月13日,えぞやまざくら
稚内,2005,2005/5/23,5月13日,えぞやまざくら
稚内,2006,2006/5/18,5月13日,えぞやまざくら
稚内,2007,2007/5/15,5月13日,えぞやまざくら
稚内,2008,2008/5/2,5月13日,えぞやまざくら
稚内,2009,2009/5/10,5月13日,えぞやまざくら
稚内,2010,2010/5/22,5月13日,えぞやまざくら
旭川,2001,2001/5/4,5月4日,えぞやまざくら
旭川,2002,2002/4/23,5月4日,えぞやまざくら
旭川,2003,2003/5/2,5月4日,えぞやまざくら
旭川,2004,2004/5/6,5月4日,えぞやまざくら
旭川,2005,2005/5/14,5月4日,えぞやまざくら
旭川,2006,2006/5/10,5月4日,えぞやまざくら
旭川,2007,2007/5/6,5月4日,えぞやまざくら
旭川,2008,2008/4/23,5月4日,えぞやまざくら
旭川,2009,2009/5/3,5月4日,えぞやまざくら
旭川,2010,2010/5/11,5月4日,えぞやまざくら
網走,2001,2001/5/12,5月10日,えぞやまざくら
網走,2002,2002/4/29,5月10日,えぞやまざくら
網走,2003,2003/5/10,5月10日,えぞやまざくら
網走,2004,2004/5/12,5月10日,えぞやまざくら
網走,2005,2005/5/21,5月10日,えぞやまざくら
網走,2006,2006/5/15,5月10日,えぞやまざくら
網走,2007,2007/5/12,5月10日,えぞやまざくら
網走,2008,2008/5/3,5月10日,えぞやまざくら
網走,2009,2009/5/4,5月10日,えぞやまざくら
網走,2010,2010/5/17,5月10日,えぞやまざくら
札幌,2001,2001/4/29,5月1日,
札幌,2002,2002/4/22,5月1日,
札幌,2003,2003/5/1,5月1日,
札幌,2004,2004/5/5,5月1日,
札幌,2005,2005/5/10,5月1日,
札幌,2006,2006/5/8,5月1日,
札幌,2007,2007/5/4,5月1日,
札幌,2008,2008/4/21,5月1日,
札幌,2009,2009/5/1,5月1日,
札幌,2010,2010/5/7,5月1日,
帯広,2001,2001/4/29,5月2日,えぞやまざくら
帯広,2002,2002/4/24,5月2日,えぞやまざくら
帯広,2003,2003/5/2,5月2日,えぞやまざくら
帯広,2004,2004/5/5,5月2日,えぞやまざくら
帯広,2005,2005/5/4,5月2日,えぞやまざくら
帯広,2006,2006/5/8,5月2日,えぞやまざくら
帯広,2007,2007/5/6,5月2日,えぞやまざくら
帯広,2008,2008/4/26,5月2日,えぞやまざくら
帯広,2009,2009/5/1,5月2日,えぞやまざくら
帯広,2010,2010/5/8,5月2日,えぞやまざくら
釧路,2001,2001/5/18,5月16日,えぞやまざくら
釧路,2002,2002/5/10,5月16日,えぞやまざくら
釧路,2003,2003/5/22,5月16日,えぞやまざくら
釧路,2004,2004/5/16,5月16日,えぞやまざくら
釧路,2005,2005/5/22,5月16日,えぞやまざくら
釧路,2006,2006/5/18,5月16日,えぞやまざくら
釧路,2007,2007/5/16,5月16日,えぞやまざくら
釧路,2008,2008/5/15,5月16日,えぞやまざくら
釧路,2009,2009/5/10,5月16日,えぞやまざくら
釧路,2010,2010/5/19,5月16日,えぞやまざくら
室蘭,2001,2001/5/9,5月4日,
室蘭,2002,2002/4/23,5月4日,
室蘭,2003,2003/5/2,5月4日,
室蘭,2004,2004/5/4,5月4日,
室蘭,2005,2005/5/10,5月4日,
室蘭,2006,2006/5/12,5月4日,
室蘭,2007,2007/5/7,5月4日,
