date,location,avg_temp,max_temp,min_temp
2020-02-01,東京,5.6,11.8,1.0
2020-02-02,東京,6.7,11.4,2.5
2020-02-03,東京,7.0,13.4,2.7
2020-02-04,東京,6.5,10.1,2.8
2020-02-05,東京,5.6,14.0,1.3
2020-02-06,東京,0.9,5.2,-2.0
2020-02-07,東京,0.3,4.8,-3.9
2020-02-08,東京,3.7,10.9,-1.9
2020-02-09,東京,2.1,6.1,-0.6
2020-02-10,東京,2.3,7.3,-1.8
2020-02-11,東京,4.2,9.4,0.3
2020-02-12,東京,5.9,14.4,-0.2
2020-02-13,東京,9.8,15.4,5.2
2020-02-14,東京,11.0,15.5,6.2
2020-02-15,東京,10.9,16.0,6.8
2020-02-16,東京,8.4,11.1,5.8
2020-02-17,東京,10.0,15.1,6.3
2020-02-18,東京,5.7,11.6,1.1
2020-02-19,東京,6.1,11.2,1.4
2020-02-20,東京,6.8,11.9,1.8
2020-02-21,東京,8.2,12.4,3.2
2020-02-22,東京,10.5,16.1,5.2
2020-02-23,東京,8.7,13.6,4.1
2020-02-24,東京,7.5,13.2,1.5
2020-02-25,東京,9.0,13.6,4.4
2020-02-26,東京,7.8,9.3,6.8
2020-02-27,東京,5.5,9.6,1.6
2020-02-28,東京,5.0,9.9,0.3
2020-02-29,東京,7.3,12.2,1.8
2020-03-01,東京,10.4,15.7,5.6
2020-03-02,東京,7.1,9.4,5.6
2020-03-03,東京,9.7,14.9,3.7
2020-03-04,東京,8.0,9.5,6.2
2020-03-05,東京,7.7,11.9,4.5
2020-03-06,東京,7.1,12.2,3.1
2020-03-07,東京,6.6,10.5,4.0
2020-03-08,東京,7.2,9.6,5.4
2020-03-09,東京,11.9,17.9,7.1
2020-03-10,東京,13.9,16.9,11.3
2020-03-11,東京,13.7,18.0,7.9
2020-03-12,東京,9.2,13.7,4.2
2020-03-13,東京,10.5,16.6,4.8
2020-03-14,東京,5.2,8.2,1.0
2020-03-15,東京,5.6,10.5,-0.1
2020-03-16,東京,5.4,12.2,1.4
2020-03-17,東京,5.6,11.8,-1.0
2020-03-18,東京,9.7,15.9,3.2
2020-03-19,東京,11.8,19.1,3.4
2020-03-20,東京,12.9,17.9,7.2
2020-03-21,東京,11.3,18.8,4.2
2020-03-22,東京,13.6,21.8,6.2
2020-03-23,東京,8.9,10.2,7.4
2020-03-24,東京,6.8,10.6,3.6
2020-03-25,東京,7.9,13.1,2.6
2020-03-26,東京,10.4,17.2,4.1
2020-03-27,東京,13.6,19.6,6.1
2020-03-28,東京,15.7,21.9,7.9
2020-03-29,東京,3.2,8.1,-0.4
2020-03-30,東京,6.7,11.9,0.6
2020-03-31,東京,9.0,11.9,6.3
2020-04-01,東京,11.1,13.4,8.7
2020-04-02,東京,12.6,17.5,7.4
2020-04-03,東京,10.9,16.2,4.9
2020-04-04,東京,13.3,19.4,7.2
2020-04-05,東京,8.9,13.3,5.4
2020-04-06,東京,10.1,15.2,4.6
2020-04-07,東京,10.1,15.2,5.2
2020-04-08,東京,11.7,16.8,5.3
2020-04-09,東京,11.9,17.5,7.8
2020-04-10,東京,9.5,14.6,6.5
2020-04-11,東京,10.1,14.4,5.9
2020-04-12,東京,10.0,13.6,7.3
2020-04-13,東京,8.8,10.4,6.9
2020-04-14,東京,10.2,14.9,6.8
2020-04-15,東京,11.4,18.5,3.3
2020-04-16,東京,10.9,15.1,7.4
2020-04-17,東京,11.2,15.4,7.2
2020-04-18,東京,13.6,17.8,10.1
2020-04-19,東京,13.5,19.6,8.4
2020-04-20,東京,9.6,10.9,8.5
2020-04-21,東京,12.7,17.1,7.3
2020-04-22,東京,12.3,17.6,8.8
2020-04-23,東京,10.9,14.8,6.7
2020-04-24,東京,10.6,15.6,5.8
2020-04-25,東京,11.2,16.0,4.2
2020-04-26,東京,16.6,21.6,12.1
2020-04-27,東京,12.7,15.8,9.1
2020-04-28,東京,12.0,16.5,6.5
2020-04-29,東京,14.1,18.8,9.5
2020-04-30,東京,16.0,22.0,9.8
2020-05-01,東京,18.5,23.1,14.8
2020-05-02,東京,18.8,24.3,13.2
2020-05-03,東京,19.0,23.5,14.9
2020-05-04,東京,18.3,21.4,15.6
2020-05-05,東京,20.0,26.4,15.6
2020-05-06,東京,17.3,21.6,14.9
2020-05-07,東京,15.7,20.0,12.2
2020-05-08,東京,14.5,20.1,8.8
2020-05-09,東京,16.7,20.1,11.9
2020-05-10,東京,20.7,24.6,16.5
2020-05-11,東京,22.2,27.2,18.5
2020-05-12,東京,20.2,24.2,17.0
2020-05-13,東京,20.3,26.9,15.1
2020-05-14,東京,18.4,24.0,12.0
2020-05-15,東京,19.2,24.7,12.6
2020-05-16,東京,18.2,21.2,15.9
2020-05-17,東京,20.1,25.9,14.6
2020-05-18,東京,19.5,21.7,17.0
2020-05-19,東京,18.6,20.7,16.4
2020-05-20,東京,13.8,16.0,11.3
2020-05-21,東京,13.2,16.2,10.5
2020-05-22,東京,15.8,19.0,12.2
2020-05-23,東京,18.3,22.3,15.4
2020-05-24,東京,19.7,24.2,15.1
2020-05-25,東京,20.2,24.5,16.1
2020-05-26,東京,20.1,23.6,16.9
2020-05-27,東京,20.5,23.6,18.0
2020-05-28,東京,19.5,23.0,16.5
2020-05-29,東京,19.7,24.6,14.6
2020-05-30,東京,20.5,25.9,14.9
2020-05-31,東京,20.4,23.0,18.4
2021-02-01,東京,4.8,11.8,-1.8
2021-02-02,東京,8.4,13.0,2.3
2021-02-03,東京,3.5,9.6,-2.5
2021-02-04,東京,4.2,12.8,-2.5
2021-02-05,東京,4.2,9.9,-0.5
2021-02-06,東京,6.3,11.9,1.3
2021-02-07,東京,7.9,14.9,1.7
2021-02-08,東京,4.2,7.9,1.2
2021-02-09,東京,2.7,9.2,-1.2
2021-02-10,東京,4.3,9.8,-1.7
2021-02-11,東京,6.5,12.9,0.6
2021-02-12,東京,5.9,11.6,0.2
2021-02-13,東京,8.8,14.9,2.8
2021-02-14,東京,10.7,17.5,4.6
2021-02-15,東京,12.1,14.1,9.1
2021-02-16,東京,8.5,14.3,3.3
2021-02-17,東京,5.6,11.4,0.1
2021-02-18,東京,1.9,7.5,-3.5
2021-02-19,東京,4.3,10.8,-1.1
2021-02-20,東京,7.1,15.7,-1.2
2021-02-21,東京,11.4,20.0,3.7
2021-02-22,東京,12.0,20.0,4.6
2021-02-23,東京,8.7,14.1,3.9
2021-02-24,東京,5.3,9.8,2.1
2021-02-25,東京,5.1,9.9,-0.2
2021-02-26,東京,7.1,11.7,3.8
2021-02-27,東京,4.5,7.8,0.6
2021-02-28,東京,4.6,11.4,-2.8
2021-03-01,東京,9.8,17.6,1.0
2021-03-02,東京,13.3,20.1,7.1
2021-03-03,東京,6.2,10.1,2.2
2021-03-04,東京,7.2,13.1,0.2
2021-03-05,東京,10.9,16.5,5.6
2021-03-06,東京,12.0,20.4,8.3
2021-03-07,東京,6.7,9.8,3.8
2021-03-08,東京,6.5,8.6,5.1
2021-03-09,東京,8.6,13.9,4.0
2021-03-10,東京,9.3,17.0,4.8
2021-03-11,東京,7.8,14.2,0.6
2021-03-12,東京,11.0,15.6,5.3
2021-03-13,東京,11.6,15.9,8.4
2021-03-14,東京,10.6,16.5,6.3
2021-03-15,東京,10.5,16.8,6.2
2021-03-16,東京,11.1,19.6,2.9
2021-03-17,東京,10.5,16.2,5.8
