date,location,avg_temp,max_temp,min_temp
2026-02-01,東京,4.9,10.6,-1.0
2026-02-02,東京,6.0,10.7,0.6
2026-02-03,東京,5.6,9.9,2.3
2026-02-04,東京,5.6,11.0,-0.3
2026-02-05,東京,8.1,13.4,2.0
2026-02-06,東京,8.5,15.8,1.4
2026-02-07,東京,2.7,5.8,0.6
2026-02-08,東京,-1.8,0.3,-3.4
2026-02-09,東京,2.6,9.1,-3.0
2026-02-10,東京,5.1,10.7,-0.4
2026-02-11,東京,5.3,8.9,0.8
2026-02-12,東京,6.5,10.2,3.8
2026-02-13,東京,6.4,12.0,2.4
2026-02-14,東京,8.2,14.9,1.1
2026-02-15,東京,11.6,18.1,5.3
2026-02-16,東京,11.0,15.4,6.0
2026-02-17,東京,5.1,7.1,2.8
2026-02-18,東京,7.2,11.6,3.3
2026-02-19,東京,5.0,9.8,1.5
2026-02-20,東京,5.5,10.8,0.2
2026-02-21,東京,9.0,14.6,3.0
2026-02-22,東京,11.2,17.5,2.4
2026-02-23,東京,17.6,22.8,12.1
2026-02-24,東京,13.8,19.1,10.6
2026-02-25,東京,9.4,13.1,6.5
2026-02-26,東京,8.5,12.1,5.7
2026-02-27,東京,11.4,16.2,7.8
2026-02-28,東京,12.6,17.8,9.6
2026-03-01,東京,11.5,16.6,6.9
2026-03-02,東京,10.5,13.1,8.1
2026-03-03,東京,7.5,10.4,4.3
2026-03-04,東京,8.0,13.9,4.4
2026-03-05,東京,8.5,14.6,5.3
2026-03-06,東京,7.9,13.1,3.5
2026-03-07,東京,10.8,15.1,6.8
2026-03-08,東京,6.4,10.6,3.2
2026-03-09,東京,6.6,11.6,2.2
2026-03-10,東京,4.9,8.2,2.2
2026-03-11,東京,5.5,10.1,0.5
2026-03-12,東京,7.0,11.2,3.3
2026-03-13,東京,6.6,10.0,2.8
2026-03-14,東京,9.3,15.4,4.9
2026-03-15,東京,10.1,15.2,4.5
2026-03-16,東京,9.8,13.6,6.9
2026-03-17,東京,10.9,14.4,7.6
2026-03-18,東京,12.4,16.9,7.9
2026-03-19,東京,14.1,19.5,10.6
2026-03-20,東京,9.7,11.1,7.2
2026-03-21,東京,9.3,15.1,3.7
